Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Basilic,кафе,Кафе,"Пролетарская улица, 24",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,,,89642565473,,,,,,,https://vk.com/kirov_basilic,https://wa.me/79642565473,,,,58.589249,49.67465,https://2gis.com/firm/70000001066419300
Chibbis.ru,единый сервис доставки еды,Доставка готовых блюд; Мобильные приложения,,,,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,7,,,,,http://kirov.chibbis.ru,,,https://vk.com/chibbis_rus,,,,,,,https://2gis.com/firm/70000001033186667
Гринвич,харчевня,Бары; Кафе,"Пролетарская улица, 22Б",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,,,,,,,,,,,,,58.589367,49.675927,https://2gis.com/firm/8163302605588364
Бублик,семейное кафе,Кафе; Банкетные залы,"улица Талица, 50",,610902,Слобода Талица,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.0,1,88332468292,89128268292,,,http://юркинпарк.рф/kafe/yurkin-bublik,,,,,,,,58.613115,49.78234,https://2gis.com/firm/70000001063918921
Русь,кафе,Кафе,"Казанская улица, 74",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-11:00; Вт: 07:00-11:00; Ср: 07:00-11:00; Чт: 07:00-11:00; Пт: 07:00-11:00; Сб: 07:00-11:00; Вс: 07:00-11:00,+03:00,,,88332675747 (доп.2),88332714010,88332711170,,http://gubern.kirov.ru,,,https://vk.com/gubernskayakaferus,,,,,58.596774,49.685031,https://2gis.com/firm/8163302605592737
Универсалка,кафе,Кафе,"Комсомольская улица, 18",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,88332372533,,,,,,,,,,,,58.582322,49.663991,https://2gis.com/firm/8163302605592815
Мираж,кафе,Кафе,"Набережная улица, 7",,613641,,,,Юрьянский район,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-01:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.8,4,89128222265,,,,,,,,,,,,58.734685,49.457874,https://2gis.com/firm/8163303605984731
Большая столовая,,Столовые; Кулинарии; Пекарни,"улица Ленина, 71",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 08:30-21:00; Вс: 08:30-21:00,+03:00,3.6,99,88332757373,,,757373bs@mail.ru,,,,https://vk.com/bolshayastolovaya,https://wa.me/79014793000,viber://chat/?number=79014793000,,,58.6035,49.680722,https://2gis.com/firm/70000001007490698
Березка,кафе,Кафе,"трасса Киров-Котельнич, 7/1",,613612,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,5.0,1,,,,,,,,,,,,,58.761577,49.509902,https://2gis.com/firm/70000001020811589
Кафе,,Кафе,"Р-176 437 Километр, 2",,,,,,Юрьянский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,,,,,,,,,,,,,59.024525,49.227492,https://2gis.com/firm/70000001045420140
Буфет,,Пекарни; Кулинарии; Столовые,"Комсомольская улица, 23",1 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.0,3,89128260517,,,,,,,,https://wa.me/79128260517,,,,58.580741,49.655849,https://2gis.com/firm/70000001045546578
